SEF	1.0.0
ID	1550
Name	'Montreal'
Lat	45.496
Lon	-73.553
Alt	10
Source	ACRE-Canada
Link	TBD
Vbl	ww
Stat	point
Units	text
Meta	Observer Name='McCord'	UTCOffset=Applied	UTCOffset=5.00
Year	Month	Day	Hour	Minute	Period	Value	Meta
1813	01	01	13	00	0	Soft Snow	Orig=Soft Snow text|Local Time=1813-1-1 08:00
1813	01	01	09	00	0		Orig= text|Local Time=1813-1-1 04:00
1813	01	01	05	00	0		Orig= text|Local Time=1813-1-1 00:00
1813	01	02	13	00	0		Orig= text|Local Time=1813-1-2 08:00
1813	01	02	09	00	0		Orig= text|Local Time=1813-1-2 04:00
1813	01	02	05	00	0		Orig= text|Local Time=1813-1-2 00:00
1813	01	03	14	00	0		Orig= text|Local Time=1813-1-3 09:00
1813	01	03	09	00	0		Orig= text|Local Time=1813-1-3 04:00
1813	01	03	05	00	0		Orig= text|Local Time=1813-1-3 00:00
1813	01	04	13	00	0		Orig= text|Local Time=1813-1-4 08:00
1813	01	04	09	00	0		Orig= text|Local Time=1813-1-4 04:00
1813	01	04	05	00	0		Orig= text|Local Time=1813-1-4 00:00
1813	01	05	13	00	0		Orig= text|Local Time=1813-1-5 08:00
1813	01	05	09	00	0		Orig= text|Local Time=1813-1-5 04:00
1813	01	05	05	00	0		Orig= text|Local Time=1813-1-5 00:00
1813	01	06	13	00	0		Orig= text|Local Time=1813-1-6 08:00
1813	01	06	09	00	0		Orig= text|Local Time=1813-1-6 04:00
1813	01	06	05	00	0		Orig= text|Local Time=1813-1-6 00:00
1813	01	07	13	00	0	Snow	Orig=Snow text|Local Time=1813-1-7 08:00
1813	01	07	09	00	0		Orig= text|Local Time=1813-1-7 04:00
1813	01	07	05	00	0		Orig= text|Local Time=1813-1-7 00:00
1813	01	08	13	00	0	Clear wind NW	Orig=Clear wind NW text|Local Time=1813-1-8 08:00
1813	01	08	09	00	0		Orig= text|Local Time=1813-1-8 04:00
1813	01	08	05	00	0		Orig= text|Local Time=1813-1-8 00:00
1813	01	09	13	00	0	Cloudy Wind NW 1M Snow	Orig=Cloudy Wind NW 1M Snow text|Local Time=1813-1-9 08:00
1813	01	09	09	00	0		Orig= text|Local Time=1813-1-9 04:00
1813	01	09	05	00	0		Orig= text|Local Time=1813-1-9 00:00
1813	01	10	13	00	0	Clear W all day	Orig=Clear W all day text|Local Time=1813-1-10 08:00
1813	01	10	09	00	0		Orig= text|Local Time=1813-1-10 04:00
1813	01	10	05	00	0		Orig= text|Local Time=1813-1-10 00:00
1813	01	11	13	00	0	Clear wind SW Fine first crossing on the ice	Orig=Clear wind SW Fine first crossing on the ice text|Local Time=1813-1-11 08:00
1813	01	11	09	00	0		Orig= text|Local Time=1813-1-11 04:00
1813	01	11	05	00	0		Orig= text|Local Time=1813-1-11 00:00
1813	01	12	13	00	0	Clear wind SW Fine	Orig=Clear wind SW Fine text|Local Time=1813-1-12 08:00
1813	01	12	09	00	0		Orig= text|Local Time=1813-1-12 04:00
1813	01	12	05	00	0		Orig= text|Local Time=1813-1-12 00:00
1813	01	13	13	00	0	Light Snow	Orig=Light Snow text|Local Time=1813-1-13 08:00
